country,Ranking,Income,Teaching,International,Research,Citations,Students
Argentina,700.0,28.60,16.00,28.10,9.00,12.50,108373
Australia,303.7,48.81,28.76,78.17,32.83,60.60,23988
Austria,320.3,47.77,27.89,77.71,22.84,61.77,19211
Bangladesh,700.0,0.00,21.70,37.20,7.20,9.60,62716
Belarus,700.0,28.00,20.20,48.20,8.70,6.00,29303
Belgium,212.1,73.53,36.60,68.64,43.17,64.26,24237
Brazil,638.2,29.80,29.15,20.16,17.67,15.73,31452
Canada,285.6,47.27,34.74,66.52,36.24,58.87,28682
Chile,591.7,29.92,21.07,45.32,13.33,28.80,19338
China,536.2,67.18,30.33,23.86,24.88,27.71,34316
Colombia,625.0,35.80,19.65,46.85,17.45,23.00,27323
Cyprus,375.0,30.00,18.00,74.70,28.50,56.70,6880
Czech Republic,552.8,30.97,20.34,36.27,14.39,39.76,22591
Denmark,188.3,45.05,31.27,79.42,32.15,79.45,19893
Egypt,700.0,20.00,20.60,32.10,8.40,14.00,125396
Estonia,462.5,38.15,20.05,42.00,18.90,51.45,12165
Finland,361.2,45.62,28.49,53.60,26.10,58.10,11796
France,385.4,30.00,30.28,60.02,21.01,56.74,25664
Germany,198.2,64.68,40.92,53.69,41.71,68.48,25635
Ghana,700.0,0.00,15.60,48.40,15.60,19.50,37274
Greece,560.7,36.59,19.21,37.23,16.30,43.07,28859
Hong Kong,177.7,47.22,39.92,82.78,43.57,71.52,15276
Hungary,675.0,26.88,19.17,50.30,11.22,26.42,23047
Iceland,275.0,28.00,16.20,61.00,16.20,91.40,13960
India,567.6,40.41,31.36,15.24,17.64,28.92,11244
Indonesia,700.0,40.00,18.10,37.20,8.00,13.90,43565
Iran,581.3,54.83,26.80,13.06,22.35,26.16,17374
Israel,379.7,31.92,31.80,50.33,32.88,44.08,17900
Italy,371.0,40.15,25.41,37.16,20.29,66.50,36562
Japan,577.6,45.08,29.96,22.43,20.85,27.05,13742
Jordan,700.0,30.10,17.70,57.95,6.95,12.10,30132
Kenya,700.0,28.00,13.70,45.50,9.00,19.50,72676
Latvia,700.0,28.30,22.60,31.50,10.20,20.90,15100
Lebanon,550.0,0.00,27.70,93.00,11.20,31.90,7695
Lithuania,700.0,41.00,18.30,40.80,13.60,26.10,19019
Luxembourg,193.0,38.10,25.00,99.80,26.70,84.80,5144
Macau,450.0,34.90,18.50,98.40,17.00,49.70,8521
Malaysia,650.0,31.28,23.60,38.10,15.14,19.28,32365
Mexico,500.0,69.75,33.30,47.75,26.45,19.10,75866
Morocco,700.0,29.20,17.40,42.70,6.30,12.10,56060
Netherlands,104.7,73.02,41.66,70.40,54.76,79.92,17375
New Zealand,417.4,43.17,24.47,89.04,23.76,47.89,17994
Nigeria,700.0,29.20,22.70,26.10,11.10,4.60,26247
Norway,266.8,40.78,29.65,66.05,30.18,69.13,16635
Oman,700.0,37.60,21.30,71.50,10.60,16.00,7089
Pakistan,625.0,15.65,19.65,33.35,8.45,40.30,11248
Poland,678.6,28.21,19.56,24.86,10.13,28.54,37269
Portugal,467.9,40.10,26.29,45.13,23.79,41.29,23413
Qatar,700.0,55.20,9.90,99.90,10.30,22.30,9583
Republic of Ireland,370.7,37.20,27.70,79.80,23.52,52.51,12479
Romania,662.5,21.58,25.80,31.15,10.38,17.85,27095
Russian Federation,481.6,47.62,36.73,31.05,22.72,33.26,16462
Saudi Arabia,458.3,70.57,23.10,84.33,15.13,41.10,27818
Serbia,700.0,45.60,20.40,30.50,13.20,14.00,96968
Singapore,40.5,74.85,60.05,95.40,72.90,82.50,28310
Slovakia,700.0,30.60,23.15,38.75,9.45,22.25,18640
Slovenia,625.0,35.50,21.00,34.05,12.55,33.05,31676
South Africa,395.0,68.63,25.60,55.28,27.23,46.15,55033
South Korea,498.0,61.00,29.62,30.60,27.48,35.38,18432
Spain,517.4,35.56,24.32,40.91,17.42,43.98,33213
Sweden,181.4,55.24,34.31,60.81,41.22,76.55,17027
Switzerland,169.0,60.32,41.54,92.94,41.45,75.65,13094
Taiwan,578.8,53.12,24.17,22.91,25.16,26.54,12873
Thailand,678.6,45.34,20.17,32.67,10.86,24.53,30017
Turkey,561.4,59.34,20.51,28.87,19.40,33.67,63934
Uganda,450.0,28.00,15.10,58.00,10.60,70.70,37340
Ukraine,700.0,28.40,24.80,38.30,9.95,2.95,18548
United Arab Emirates,625.0,31.70,15.60,95.30,12.70,17.50,7224
United Kingdom,335.6,33.88,32.17,78.71,30.90,60.78,17665
United States of America,267.0,41.48,40.90,42.57,37.34,70.68,22574
